date,manu_inv
12/1/2007,189837
1/1/2008,194998
2/1/2008,195313
3/1/2008,195569
4/1/2008,196934
5/1/2008,198719
6/1/2008,199890
7/1/2008,203091
8/1/2008,203335
9/1/2008,202609
10/1/2008,200554
11/1/2008,196829
12/1/2008,189021
1/1/2009,189719
2/1/2009,186981
3/1/2009,182081
4/1/2009,179494
5/1/2009,177844
6/1/2009,173413
7/1/2009,173628
8/1/2009,171356
9/1/2009,170237
10/1/2009,170681
11/1/2009,170476
12/1/2009,170898
1/1/2010,171740
2/1/2010,173974
3/1/2010,173930
4/1/2010,173891
5/1/2010,172826
6/1/2010,173832
7/1/2010,176437
8/1/2010,174820
9/1/2010,175784
10/1/2010,177981
11/1/2010,179315
12/1/2010,181718
1/1/2011,185886
2/1/2011,188712
3/1/2011,189529
4/1/2011,192934
5/1/2011,195117
6/1/2011,193994
7/1/2011,196670
8/1/2011,197921
9/1/2011,196350
10/1/2011,199671
11/1/2011,198811
12/1/2011,199509
1/1/2012,203309
2/1/2012,203908
3/1/2012,205161
4/1/2012,207381
5/1/2012,206605
6/1/2012,204799
7/1/2012,208674
8/1/2012,208349
9/1/2012,208556
10/1/2012,209050
11/1/2012,206844
12/1/2012,206165
1/1/2013,209773
2/1/2013,209421
3/1/2013,208383
4/1/2013,207644
5/1/2013,207980
6/1/2013,203581
7/1/2013,207769
8/1/2013,210211
9/1/2013,208743
10/1/2013,209811
11/1/2013,208314
12/1/2013,209029
1/1/2014,213470
2/1/2014,215649
3/1/2014,213993
4/1/2014,215907
5/1/2014,218357
6/1/2014,215815
7/1/2014,219907
8/1/2014,219137
9/1/2014,217640
10/1/2014,217812
11/1/2014,216781
12/1/2014,215951
1/1/2015,218029
2/1/2015,218327
3/1/2015,216444
4/1/2015,217319
5/1/2015,216828
6/1/2015,216251
7/1/2015,217549
8/1/2015,216268
9/1/2015,214751
10/1/2015,216040
11/1/2015,214372
12/1/2015,213203
1/1/2016,214392
2/1/2016,214018
3/1/2016,212687
4/1/2016,212157
5/1/2016,212377
6/1/2016,210608
7/1/2016,215029
8/1/2016,213570
9/1/2016,211845
10/1/2016,212656
11/1/2016,211944
12/1/2016,209685
1/1/2017,212608
2/1/2017,213332
3/1/2017,212841
4/1/2017,215519
5/1/2017,216612
6/1/2017,215033
7/1/2017,217447
8/1/2017,218110
9/1/2017,220228
10/1/2017,220746
11/1/2017,220345
12/1/2017,220234
1/1/2018,222902
2/1/2018,224644
3/1/2018,224502
4/1/2018,226444
5/1/2018,228090
6/1/2018,227926
7/1/2018,233039
8/1/2018,234055
9/1/2018,235102
10/1/2018,237005
11/1/2018,235774
12/1/2018,233850
1/1/2019,238957
2/1/2019,238595
3/1/2019,237507
4/1/2019,238827
5/1/2019,239143
6/1/2019,238248
7/1/2019,240872
8/1/2019,240031
9/1/2019,239754
10/1/2019,240772
11/1/2019,239558
12/1/2019,238528
1/1/2020,241231
2/1/2020,240453
3/1/2020,239567
4/1/2020,242704
5/1/2020,242334
6/1/2020,240723
7/1/2020,241538
8/1/2020,239480
9/1/2020,237539
10/1/2020,238391
11/1/2020,238022
12/1/2020,239695
1/1/2021,245659
2/1/2021,251053
3/1/2021,252744
4/1/2021,256788
5/1/2021,260216
6/1/2021,264656
7/1/2021,271865
8/1/2021,274820
9/1/2021,280206
10/1/2021,286178
11/1/2021,290061
12/1/2021,292012
1/1/2022,296774
2/1/2022,300197
3/1/2022,305716
4/1/2022,309542
5/1/2022,314310
6/1/2022,316647
7/1/2022,318569
8/1/2022,316743
9/1/2022,317631
10/1/2022,319004
11/1/2022,316306
12/1/2022,314982
1/1/2023,318553
2/1/2023,317212
3/1/2023,316227
4/1/2023,316501
5/1/2023,315240
6/1/2023,315316
7/1/2023,316992
8/1/2023,315002
9/1/2023,314608
10/1/2023,315951
11/1/2023,314029
